Bank Name,Number of Website Pages,Total Words(Master Text),Average Sentence Length(Master Text),Bog Index(Master Text),Number of StyleWriter Chunks(Master Text),Total Words(Refined Text),Average Sentence Length(Refined Text),Bog Index(Refined Text),Number of StyleWriter Chunks(Refined Text)
guardian mortgage company inc,250,48872,12,49,1,44980,16.5,48,1
residential bancorp,55,11296,9.5,48,1,9953,13.3,48,1
corridor mortgage group,133,18863,12.2,46,1,17252,15.7,49,1
crescent mtg co,44,2037,5,64,1,1310,10.6,49,1
guaranteed rate inc,203,83120,13.7,47,1,77636,16.4,49,1
hartford funding ltd,14,6283,13.3,49,1,5880,16.2,49,1
iowa bankers mortgage corporat,12,1502,6.4,51,1,1080,11.9,49,1
mountain west financial inc,106,33598,12.7,46,1,29866,15.5,49,1
norcom mortgage,57,15751,13.9,45,1,14796,17.6,49,1
pennymac loan services,286,253582,14.4,48,1,239598,16.8,49,1
pmt,286,253582,14.4,48,1,239598,16.8,49,1
residential wholesale mortgage inc,106,15276,10,55,1,13270,17.3,49,1
james b nutter and company,136,52189,14.2,49,1,48931,17.2,50,1
cashcall inc,18,0,0,0,1,4498,14.3,51,1
cis financial services inc,63,15981,10.2,53,1,14173,13.8,51,1
plaza home mortgage,33,6729,8.6,50,1,5289,13.3,51,1
vanderbilt mortgage,36,22083,7.3,56,1,16494,14.9,51,1
1st alliance lending llc,28,0,0,0,1,10172,18.6,52,1
american financial network inc,3986,34569,5.7,78,1,24910,9.2,52,1
gmfs llc,546,65550,10.7,52,1,57201,14.8,52,1
homestar financial corporation,946,39966,8.9,75,1,27755,15.1,52,1
mid america mortgage inc,49,16730,12.8,54,1,14757,14.9,52,1
mortgage research center,8,5167,11.3,48,1,4694,15.3,52,1
the money source inc,41,33893,11.9,50,1,31138,14.3,52,1
castle and cooke mortgage llc,437,137865,16,52,1,126758,18.3,53,1
cornerstone home lending inc,6,4250,11.6,52,1,3783,15.7,53,1
fairway independent mortgage,174,41771,12.9,52,1,38042,16.9,53,1
franklin american mortgage,44,10724,9.6,54,1,9262,12.8,53,1
highland residential mortgage ltd,90,26911,13.5,52,1,25113,16.2,53,1
mortgage network inc,513,140128,9,56,1,106602,14.3,53,1
sfmc lp,273,62243,10.9,54,1,54813,15.5,53,1
union home mortgage corporation,90,27359,12.5,51,1,23500,15.5,53,1
amcap mortgage ltd,1,271,5.6,63,1,196,9.3,54,1
cmg mortgage,4571,352804,15,53,1,332341,16.2,54,1
flat branch mortgage inc,57,11216,10.2,53,1,9558,14.8,54,1
fm home loans llc,156,43144,10.3,60,1,36127,14.3,54,1
gateway mortgage group llc,228,69057,16,53,1,65106,19,54,1
intercap lending inc dba suburban mortgage company of new mexico,337,30537,9.5,58,1,25743,14.3,54,1
nations direct mortgage llc,312,32429,12.1,52,1,28454,14.6,54,1
supreme lending,18,13415,13.2,52,1,12054,17.1,54,1
first continental mortgage ltd,50,7535,11.3,54,1,6607,16.5,55,1
mclean mortgage corporation,166,13341,9.9,58,1,11746,13.3,55,1
movement mortgage,336,46678,12.5,53,1,42230,16.2,55,1
sierra pacific mortgage,47,11419,10.3,54,1,10163,16.5,55,1
