Date & Time	Document	Draft	Total Words	Average Sentence	Passive Index	Style Index	Bog Index	Reading Grade	Jargon	Glue	Pep	Task	Audience	Author
31 Oct 2019 23:33	cashcall_inc_refined.docx	Original	4498	14.3	18	61	51	11.3	1.1	39	16	General Writing	Public	john
31 Oct 2019 23:39	castle_and_cooke_mortgage_llc_all.docx	Original	137865	16.0	14	46	52	11.6	1.7	37	14	General Writing	Public	john
01 Nov 2019 00:01	castle_and_cooke_mortgage_llc_refined.docx	Original	126758	18.3	17	47	53	12.2	1.1	39	12	General Writing	Public	john
01 Nov 2019 00:20	cent_mtg_co_dba_century_lend_all.docx	Original	6831	12.9	8	47	55	11.7	1.5	33	14	General Writing	Public	john
01 Nov 2019 00:21	cent_mtg_co_dba_century_lend_refined.docx	Original	6054	16.9	11	50	56	12.7	1.1	35	12	General Writing	Public	john
01 Nov 2019 00:28	cherry_creek_mortgage_co_inc_all.docx	Original	163731	12.8	6	35	38	9.5	0.8	38	17	General Writing	Public	john
01 Nov 2019 00:55	cherry_creek_mortgage_co_inc_refined.docx	Original	150875	16.1	8	36	39	10.5	0.6	41	15	General Writing	Public	john
01 Nov 2019 01:15	chicago_mortgage_solutions_all.docx	Original	104	7.4	0	48	62	14.4	5.8	24	15	General Writing	Public	john
01 Nov 2019 01:16	chicago_mortgage_solutions_refined.docx	Original	82	13.7	0	60	62	15.6	7.3	28	10	General Writing	Public	john
01 Nov 2019 01:17	cis_financial_services_inc_all.docx	Original	15981	10.2	9	42	53	10.0	2.0	35	17	General Writing	Public	john
01 Nov 2019 01:20	cis_financial_services_inc_refined.docx	Original	14173	13.8	13	45	51	10.8	1.5	38	15	General Writing	Public	john
01 Nov 2019 01:22	cmc_funding_inc_all.docx	Original	704	6.2	6	56	66	10.8	6.1	27	20	General Writing	Public	john
01 Nov 2019 01:22	cmc_funding_inc_refined.docx	Original	513	9.2	11	66	69	11.9	6.0	30	19	General Writing	Public	john
01 Nov 2019 01:39	cmg_mortgage_all.docx	Original	352804	15.0	11	39	53	11.5	0.9	36	11	General Writing	Public	john
01 Nov 2019 02:36	cmg_mortgage_refined.docx	Original	332341	16.2	13	40	54	11.9	0.8	37	10	General Writing	Public	john
01 Nov 2019 03:23	colorado_housing_and_finance_authority_all.docx	Original	142196	11.1	10	54	71	12.0	2.1	34	14	General Writing	Public	john
01 Nov 2019 03:46	colorado_housing_and_finance_authority_refined.docx	Original	120116	15.7	17	57	69	13.1	1.6	38	11	General Writing	Public	john
01 Nov 2019 04:03	continental_home_loans_inc_all.docx	Original	3057	8.4	7	56	110	15.7	1.7	26	19	General Writing	Public	john
01 Nov 2019 04:03	continental_home_loans_inc_refined.docx	Original	2411	15.3	16	58	106	16.9	1.8	30	17	General Writing	Public	john
01 Nov 2019 04:04	cornerstone_home_lending_inc_all.docx	Original	4250	11.6	13	69	52	11.1	1.9	36	18	General Writing	Public	john
01 Nov 2019 04:05	cornerstone_home_lending_inc_refined.docx	Original	3783	15.7	20	74	53	12.5	1.7	39	18	General Writing	Public	john
01 Nov 2019 04:07	corridor_mortgage_group_all.docx	Original	18863	12.2	12	49	46	10.5	0.8	38	14	General Writing	Public	john
01 Nov 2019 04:10	corridor_mortgage_group_refined.docx	Original	17252	15.7	16	49	49	11.4	0.6	40	11	General Writing	Public	john
